
2024/02/21 (06:44:38) | ===> btop++ v.1.3.2
2024/02/21 (06:44:38) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/02/21 (06:44:38) | ERROR: Couldn't determine terminal size of "/dev/tty"!

2024/03/24 (06:06:53) | ===> btop++ v.1.2.13
2024/03/24 (06:06:53) | ERROR: Stall in Runner thread, restarting!
2024/03/24 (06:07:07) | ERROR: Stall in Runner thread, restarting!
2024/03/24 (06:07:13) | ERROR: Stall in Runner thread, restarting!
2024/03/24 (06:07:25) | ERROR: Stall in Runner thread, restarting!
2024/03/24 (06:07:57) | ERROR: Stall in Runner thread, restarting!
2024/03/24 (06:08:06) | ERROR: Stall in Runner thread, restarting!
